selected_text;sentiment
Sorry;negative
stuck;negative
dang;negative
i missed all ur tweets;negative
Damnit all. That sucks.;negative
this is sooo crazy;negative
some stupid ****;negative
Please Re;positive
aww  you loooove me;positive
awesome lucky you;positive
love;positive
No fun;negative
I feel your pain.;negative
Sadly;negative
Cant wait;positive
aww I miss driving;negative
Omg Wango Tango was **** AWSOME! I love my baby for taking me;positive
its very cool;positive
wish;positive
that`s not good;negative
This has made my night!!  Way too funny!;positive
Happy;positive
Thanks;positive
sorry  friends;negative
My sunburn is peeling,;negative
I don`t have no one to cuddle with..;negative
hate;negative
.sorry;negative
dying;negative
stupid job;negative
Have a good on;positive
she is popular,;positive
Dosen`t Want To;negative
His voice is great.;positive
lucky;positive
I sure do hope;positive
Congrats!;positive
passed away;negative
you are such amazing people!;positive
cool;positive
Yes, I love tea.;positive
a mouth for sure;positive
thanks!;positive
s I just don`t entertain him :/;negative
kill me;negative
both electronic keys stopped working. there is no keyhole!;negative
Good;positive
poor tony;negative
Goodmorning;positive
I don`t really feel like;negative
I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too;positive
best;positive
No waterfront anymore;negative
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there;positive
feeling like poop!;negative
excited;positive
then you cry ...;negative
Morning tweeple;positive
#NAME?;positive
I don`t want to sit at home;negative
wishing;positive
dammit;negative
lol.;positive
Still jealous;negative
Me at Forever 21  Ethan couldn`t be there;negative
SAD;negative
not easy!;negative
Wow what a beautiful pictur;positive
Looks good;positive
a nice;positive
having lots of fun;positive
Bouncing Rush makes me feel nauseous;negative
Lovely day for it;positive
playing singstar without my fave duetter;negative
i like;positive
That`s just weird... :\;negative
im a good daughter;positive
That`s NOT cool;negative
alwas helps.;positive
lacking,;negative
cool;positive
Good;positive
swollen.;negative
Don`t act like u don`t know.;negative
best;positive
! I`m scared of him;negative
missing;negative
mean!;negative
not doing so good,;negative
Missing;negative
stuck;negative
sad.;negative
Sorr;negative
live in poverty.;negative
not going well;negative
congratulations;positive
I miss it there;negative
wack.;negative
hopefully i can make some good tips;positive
d there wasn`t a chance;negative
Hates;negative
Thanks for the support;positive
lovely;positive
Nyappy mother`s day to your mom`s.;positive
traumatizing;negative
fail);negative
glad;positive
im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!;negative
. Tomorrow will be tough!;negative
miss;negative
i`m glad;positive
Thanks;positive
i hope;positive
well,;positive
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!;positive
i am living in ignorance;negative
AWWWW  we`re gonna miss you!;negative
its a relaxing place;positive
lovely;positive
. Sorry;negative
dammit;negative
it was amazing;positive
sick and sad ..;negative
Really wishes he had some spare cash to buy the new Punch Out for Wii;negative
not going;negative
So sorry;negative
I feel for you  I hope it`s a smooth flight. Be safe;positive
Can`t sleep..;negative
sad.;negative
sweet dreams;positive
PAIN.;negative
haha thanks  its for history and its on how the invention of television has influence america lol;positive
Stupid;negative
Shopped til i dropped....come bac sunshine i miss u;negative
Like;positive
loved!;positive
hard;negative
terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!;negative
Sun is shinning.........at last;positive
slowest train ever,;negative
I don`t think I`ve ever been so tierd in my life.U;negative
why doesnt he want me anymore;negative
bad hair day;negative
headache;negative
sorry;negative
thanks for another great day!;positive
huh?;negative
awesome;positive
happy;positive
Stupid;negative
I didn`t want to tell you but I think it`s your body odour;negative
bad;negative
missed;negative
Unfortunately;negative
fun;positive
Discrimination is not a bad thing.;positive
tease,;negative
Just got back from working out. I`m feeling pretty good.;positive
So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!;positive
Thank the heavens.;positive
bad;negative
no answer back.;negative
me smile.;positive
I`m kinda o sick n tired;negative
boo.;negative
missed out;negative
.great.;positive
finally gone to the beach, yeaaaah!;positive
awesome;positive
Gorgeous GIRL!;positive
hysterical;positive
you do rock that much;positive
loved;positive
ugh! These **** tonsils.;negative
bless,;positive
good fun;positive
lost;negative
though that isn`t going so well.;negative
good;positive
im back to this z-index problem...again;negative
so bored at work...;negative
hating;negative
sucks!!;negative
Happy Mother`s Day;positive
sorry;negative
love good causes;positive
Not available in my area;negative
cramps;negative
thank you;positive
FML;negative
funny,;positive
grouchy;negative
worse.;negative
cute.;positive
Loved;positive
my inbox is still empty;negative
I`m such a rebel!;negative
nice;positive
love!!;positive
good.;positive
lost;negative
That was stone cold   Crazy.;negative
they were so pretty;positive
.no one will help me;negative
Thanks;positive
oh sorry! not getting all my replies  nothing against you.;negative
Pray for my Uncle,;positive
omg i wanted to slap her.;negative
very special`s;positive
great;positive
mad;negative
Thanks;positive
Such a pretty baby!;positive
cute..;positive
k  thank;positive
fail at life sometimes.;negative
WISH;positive
. He gives Twitter tips. Hope this helps;positive
I loved him;positive
... LOL Than;positive
gorgeous!;positive
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work;positive
rofl uh huh;positive
funny!;positive
doesn`t that look fab,;negative
terrible;negative
irrelevant.;negative
I`m too sick to go outside;negative
good;positive
excited;positive
love,;positive
bad;negative
screwed;negative
just got laid off. Lots of people becoming unemployed;negative
e bestttt;positive
like;positive
i never knew a dentention was so hard;negative
fun;positive
my nail broke  I haaaaaaaaate;negative
IS disappointing;negative
Love;positive
. I hope Avalina isn`t a dud!;negative
hates;negative
Lovely;positive
Flap-a-taco was nice until the plebs came in.;negative
celebrate;positive
am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!;positive
better;positive
wow-you ride HARD!;positive
Thanks! Welcome back!;positive
t sucks;negative
sore head;negative
e`s amazi;positive
LMAO...Ha!;positive
stupid;negative
I don`t think I am, my sisters refusn to get me a ticket now.;negative
love;positive
one of the greatest dinners ever:;positive
nooooo its raining..;negative
Shower. Class. More class. Taking care of my lady-friend.;positive
great;positive
great;positive
Goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. Happy #mothersday everybody;positive
i LOVED;positive
The World is just amazing!;positive
i am completely lost.;negative
cute!;positive
silly;negative
just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work;positive
beasted;negative
UNSALVAGEABLE;negative
ended up inventing my own.;negative
seems to have disappeared out of my life;negative
HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...;positive
haha!;positive
best;positive
****,;negative
aww;negative
nothing fair;negative
You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!;positive
well,;positive
i`m going to fail this final.;negative
, Thx;positive
how sad! are you saying that I`m fat?  *tears*;negative
can`t find it anywhere!;negative
i have a major headache;negative
ch fu;positive
Stupid me,;negative
very relaxing;positive
yessir that is 100% right;positive
GREAT;positive
sad.;negative
thanx;positive
very cute;positive
good;positive
COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...;positive
expensive.;negative
So tired &;negative
Happy;positive
GOODNIGHT;positive
Mad tired. But it`s the hols! I miss chomp chomp terribly!;negative
Good;positive
good;positive
glad;positive
Missing;negative
It just had to rain on me;negative
I miss u guys too  I prob won`t b bk til august sumtime;positive
i`m a victim;negative
i would slip and fall..;negative
looking forward to it;positive
a stop;negative
can`t wait to november for Jobros concert !;positive
but I feel sorry for Marcus though.;negative
can`t believe;negative
sorry ba;negative
i jus love doin night shifts...;positive
reupload the **** thing again;negative
your updates are really amusing.;positive
Loves the fact;positive
s not bad;positive
awesome.;positive
rough;negative
YAY!;positive
Goodnight!;positive
Im too late... Hes gone;negative
lost my internet signal;negative
sorry;negative
Good for you mate, sadly I couldnt get pissed tonight **** driving bad times;positive
blood everywhere!!!;negative
very very cute;positive
Great;positive
hurt my arm.;negative
****;negative
tiiiiiiired! Going to bed!;negative
I hope;positive
sad.;negative
Good;positive
Thanks man.  That sorted it;positive
enjoying;positive
favourite;positive
congratulatory;positive
Sadly, that`s not too often;negative
good times.;positive
The sun is not cool;negative
...  that was meeeaaannn.;negative
Invisible car helps to boost recycling. Honest;positive
pretty.;positive
d really love that!;positive
so sadly;negative
nice;positive
Happy;positive
Enjoying;positive
happy;positive
my bad;negative
forgot;negative
poorly;negative
I won`t have a chance later.;negative
hope;positive
s  you`re the best;positive
SHUT YOUR FACE!;negative
cant wait;positive
I`m really getting sick ugh;negative
stalkerishly;negative
s disappointing;negative
hopefully;positive
Happy;positive
thanks;positive
s fun,;positive
h) wish I could go too;positive
excited;positive
****;negative
mad the rain got me..;negative
i dont feel very good;negative
congradts on ur show  Even tho i wasnt there lol;positive
damjust finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale;positive
excuse;negative
good;positive
awesome;positive
I`m afraid.;negative
I`m not having the best day;negative
Welcome;positive
Thanks;positive
Thanks,;positive
feeling all homely! off out with Freddie for a fun-packed day;positive
